gender,age,person,became_member_on,income,treatment,outcome,discount_attributed_spend,tenure_days,total_transactions,avg_spend,purchase_frequency,is_missing_demographics
F,55,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000.0,0,77.01,0.0,376,3.0,25.67,0.239,False
F,75,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000.0,0,159.27,0.0,443,7.0,22.752857142857145,0.474,False
M,68,e2127556f4f64592b11af22de27a7932,2018-04-26,70000.0,1,57.730000000000004,18.42,91,3.0,19.243333333333336,0.989,False
M,65,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000.0,1,36.43,11.26,167,3.0,12.143333333333333,0.539,False
M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000.0,1,15.62,15.62,257,4.0,3.905,0.467,False
F,61,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000.0,1,85.55,0.0,318,6.0,14.258333333333333,0.566,False
M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000.0,1,56.22,0.0,1624,11.0,5.11090909090909,0.203,False
F,62,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000.0,1,160.25,160.25,896,8.0,20.03125,0.268,False
M,49,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000.0,1,144.10999999999999,0.0,1351,9.0,16.01222222222222,0.2,False
M,57,6445de3b47274c759400cd68131d91b4,2017-12-31,42000.0,1,19.1,14.77,207,6.0,3.1833333333333336,0.87,False
F,61,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000.0,0,20.78,0.0,86,7.0,2.968571428571429,2.442,False
F,40,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000.0,1,300.68,300.68,813,16.0,18.7925,0.59,False
M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000.0,1,211.29000000000002,109.28,320,7.0,30.184285714285718,0.656,False
F,78,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000.0,1,155.46,54.85,405,8.0,19.4325,0.593,False
M,42,f806632c011441378d4646567f357a21,2013-08-11,69000.0,1,91.4,46.51,1810,5.0,18.28,0.083,False
F,56,d058f73bf8674a26a95227db098147b1,2018-04-28,88000.0,1,75.62,47.14,89,3.0,25.206666666666667,1.011,False
F,33,c6c9884912c645429f3333f912b55f44,2017-09-26,52000.0,1,17.9,15.219999999999999,303,9.0,1.9888888888888887,0.891,False
F,46,7429a044884842d6862f516c38b1156f,2017-09-11,59000.0,1,2.88,0.0,318,1.0,2.88,0.094,False
M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000.0,1,52.08,39.129999999999995,1282,13.0,4.006153846153846,0.304,False
M,67,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000.0,1,206.88,156.74,1433,8.0,25.86,0.167,False
O,53,d1ede868e29245ea91818a903fec04c6,2017-09-16,52000.0,1,18.740000000000002,0.0,313,5.0,3.748,0.479,False
M,22,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000.0,1,106.38,60.879999999999995,304,6.0,17.73,0.592,False
F,96,868317b9be554cb18e50bc68484749a2,2017-11-17,89000.0,1,81.92,0.0,251,4.0,20.48,0.478,False
M,40,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000.0,0,40.94,0.0,747,14.0,2.924285714285714,0.562,False
F,69,102e9454054946fda62242d2e176fdce,2016-08-14,57000.0,0,213.49,0.0,711,14.0,15.249285714285715,0.591,False
M,56,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000.0,1,167.67000000000002,132.96,1537,9.0,18.630000000000003,0.176,False
F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000.0,1,73.38,54.980000000000004,348,21.0,3.494285714285714,1.81,False
M,75,6e014185620b49bd98749f728747572f,2015-11-12,40000.0,1,155.53,138.2,987,10.0,15.553,0.304,False
F,20,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000.0,1,29.89,0.0,745,10.0,2.989,0.403,False
M,45,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000.0,1,61.25,3.33,19,8.0,7.65625,8.0,False
M,61,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000.0,1,234.43,75.27000000000001,247,8.0,29.30375,0.972,False
F,69,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000.0,1,32.72,6.5,1772,12.0,2.7266666666666666,0.203,False
F,54,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000.0,1,249.4,67.11,534,9.0,27.711111111111112,0.506,False
M,39,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000.0,1,51.91,0.0,1521,14.0,3.7078571428571427,0.276,False
F,41,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000.0,1,62.510000000000005,15.35,1039,18.0,3.472777777777778,0.52,False
F,79,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000.0,1,152.0,0.0,1198,15.0,10.133333333333333,0.376,False
F,66,7584948ea6d04f94b8798624706261c2,2018-04-08,38000.0,0,56.08,0.0,109,5.0,11.216,1.376,False
F,56,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000.0,1,87.11,14.18,395,7.0,12.444285714285714,0.532,False
F,39,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000.0,1,150.23000000000002,130.52,1464,13.0,11.556153846153848,0.266,False
M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000.0,1,320.48,265.09000000000003,921,12.0,26.706666666666667,0.391,False
F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000.0,1,225.54999999999998,90.37,655,8.0,28.193749999999998,0.366,False
M,45,186d6403f5824c739555b732f4af3f16,2017-10-06,48000.0,1,17.0,3.02,293,6.0,2.8333333333333335,0.614,False
M,29,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000.0,1,38.17,0.44,817,12.0,3.1808333333333336,0.441,False
M,44,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000.0,1,150.23,103.89,305,18.0,8.34611111111111,1.77,False
M,63,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000.0,1,121.62,100.61,13,9.0,13.513333333333334,9.0,False
M,36,54890f68699049c2a04d415abc25e717,2017-12-28,56000.0,1,118.85000000000001,15.61,210,7.0,16.97857142857143,1.0,False
F,76,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000.0,1,22.65,13.13,134,6.0,3.775,1.343,False
M,68,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000.0,1,177.18,42.84,337,8.0,22.1475,0.712,False
M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000.0,1,135.54,69.24,970,11.0,12.32181818181818,0.34,False
M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000.0,1,200.78,112.89,515,12.0,16.731666666666666,0.699,False
M,77,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000.0,1,23.81,0.0,726,11.0,2.1645454545454546,0.455,False
M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000.0,1,110.92,34.65,1425,8.0,13.865,0.168,False
M,57,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000.0,1,27.24,0.0,169,1.0,27.24,0.178,False
F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000.0,1,167.88,26.57,750,9.0,18.653333333333332,0.36,False
F,53,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000.0,1,303.2,0.0,572,10.0,30.32,0.524,False
F,53,8045834137dc47faa24f2c4547969f33,2017-10-26,55000.0,1,20.18,10.52,273,8.0,2.5225,0.879,False
F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000.0,1,67.25,33.38,258,2.0,33.625,0.233,False
F,67,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000.0,1,155.73,83.5,684,8.0,19.46625,0.351,False
F,58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000.0,1,290.42,192.68,182,15.0,19.361333333333334,2.473,False
F,46,e528ceb341964128aaf58a59733ec2af,2018-06-29,36000.0,1,17.13,15.39,27,5.0,3.4259999999999997,5.0,False
M,30,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,41000.0,0,11.95,0.0,236,4.0,2.9875,0.508,False
M,59,0b73997a269247088b2a63355f53ee58,2017-08-20,89000.0,1,45.400000000000006,0.0,340,2.0,22.700000000000003,0.176,False
M,51,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,41000.0,1,75.96000000000001,64.94,938,20.0,3.7980000000000005,0.64,False
M,27,6e04a90a0e074496b5f229eb1f553433,2018-01-10,35000.0,1,29.56,10.09,197,12.0,2.4633333333333334,1.827,False
M,40,262ad0fb526a4d53b572007da60cce24,2018-02-27,53000.0,0,8.17,0.0,149,5.0,1.634,1.007,False
F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,91000.0,1,109.16,53.040000000000006,98,4.0,27.29,1.224,False
F,74,2c5c63e5124e417b8504f76c868a4190,2015-12-24,107000.0,1,298.3,251.09,945,10.0,29.830000000000002,0.317,False
M,42,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,66000.0,1,136.94,31.25,978,7.0,19.562857142857144,0.215,False
M,78,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,58000.0,0,126.94,0.0,988,10.0,12.693999999999999,0.304,False
F,54,816afd4505d047cf893275fbfe825590,2016-12-25,53000.0,1,57.03,16.509999999999998,578,18.0,3.1683333333333334,0.934,False
F,70,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,74000.0,1,0.0,0.0,43,0.0,0.0,0.0,False
F,49,68eee228713c429ebe1300155ad1fb33,2017-04-08,57000.0,1,184.78,61.690000000000005,474,10.0,18.478,0.633,False
F,62,ffc6c9fbe34b4578911dcdf6745b4c74,2018-04-10,57000.0,1,0.0,0.0,107,0.0,0.0,0.0,False
