gender,age,person,became_member_on,income,treatment,outcome,discount_attributed_spend,tenure_days,total_transactions,avg_spend,purchase_frequency,is_missing_demographics,predicted_cate,cate_ci_lower,cate_ci_upper,tenure_bucket,income_bucket,cate_decile
F,55,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000.0,0,77.01,0.0,376,3.0,25.67,0.239,False,0.20566433329997796,-0.3833646487332312,0.7946933153331873,1-2yr,90k+,6
F,75,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000.0,0,159.27,0.0,443,7.0,22.752857142857145,0.474,False,0.3443321146339646,-0.5428019594783318,1.231466188746261,1-2yr,90k+,7
M,68,e2127556f4f64592b11af22de27a7932,2018-04-26,70000.0,1,57.73,18.42,91,3.0,19.243333333333336,0.989,False,0.44357473044687146,0.00116998465231416,0.8859794762414286,<6mo,50-70k,7
M,65,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000.0,1,36.43,11.26,167,3.0,12.143333333333333,0.539,False,0.9251117862588001,0.03562318610156223,1.8146003864160385,<6mo,50-70k,8
M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000.0,1,15.62,15.62,257,4.0,3.905,0.467,False,0.019273022587112554,-0.39341245037378025,0.43195849554800547,6-12mo,50-70k,4
F,61,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000.0,1,85.55,0.0,318,6.0,14.258333333333333,0.566,False,-0.20509174365958183,-1.1655676028443258,0.7553841155251615,6-12mo,50-70k,2
M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000.0,1,56.22,0.0,1624,11.0,5.11090909090909,0.203,False,0.20013175278633816,-1.2890288856731502,1.6892923912458266,2yr+,<50k,6
F,62,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000.0,1,160.25,160.25,896,8.0,20.03125,0.268,False,0.1818084291626834,-0.6607575750350486,1.0243744333604166,2yr+,70-90k,6
M,49,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000.0,1,144.11,0.0,1351,9.0,16.01222222222222,0.2,False,-0.9433387743721527,-1.7619004763978046,-0.1247770723465006,2yr+,50-70k,0
M,57,6445de3b47274c759400cd68131d91b4,2017-12-31,42000.0,1,19.1,14.77,207,6.0,3.1833333333333336,0.87,False,-0.17776496563703081,-0.7344922381105574,0.37896230683649546,6-12mo,<50k,2
F,61,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000.0,0,20.78,0.0,86,7.0,2.968571428571429,2.442,False,0.21018249304274852,-0.24980744825759557,0.6701724343430925,<6mo,<50k,6
F,40,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000.0,1,300.68,300.68,813,16.0,18.7925,0.59,False,-0.5689604074553417,-6.81301466111796,5.675093846207274,2yr+,70-90k,1
M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000.0,1,211.29,109.28,320,7.0,30.18428571428572,0.656,False,-3.536259564811751,-19.565990481397773,12.493471351774268,6-12mo,90k+,0
F,78,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000.0,1,155.46,54.85,405,8.0,19.4325,0.593,False,0.17611981902517512,-0.6580238714391449,1.010263509489495,1-2yr,70-90k,6
M,42,f806632c011441378d4646567f357a21,2013-08-11,69000.0,1,91.4,46.51,1810,5.0,18.28,0.083,False,0.2775244011083252,-0.563460738978486,1.1185095411951362,2yr+,50-70k,6
F,56,d058f73bf8674a26a95227db098147b1,2018-04-28,88000.0,1,75.62,47.14,89,3.0,25.206666666666667,1.011,False,-0.09349209441849643,-1.4083401042525234,1.22135591541553,<6mo,70-90k,3
F,33,c6c9884912c645429f3333f912b55f44,2017-09-26,52000.0,1,17.9,15.22,303,9.0,1.9888888888888887,0.891,False,-0.6397412417292472,-1.4601833961795245,0.18070091272102984,6-12mo,50-70k,1
F,46,7429a044884842d6862f516c38b1156f,2017-09-11,59000.0,1,2.88,0.0,318,1.0,2.88,0.094,False,0.0678788878130906,-0.4544088078592504,0.5901665834854315,6-12mo,50-70k,4
M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000.0,1,52.08,39.13,1282,13.0,4.006153846153846,0.304,False,0.6256730045154751,-0.7987777416492673,2.050123750680216,2yr+,<50k,8
M,67,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000.0,1,206.88,156.74,1433,8.0,25.86,0.167,False,1.2942189286327956,-2.475641912587917,5.0640797698535085,2yr+,90k+,9
O,53,d1ede868e29245ea91818a903fec04c6,2017-09-16,52000.0,1,18.74,0.0,313,5.0,3.748,0.479,False,-0.06579759802758646,-0.27917352294795816,0.14757832689278527,6-12mo,50-70k,3
M,22,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000.0,1,106.38,60.88,304,6.0,17.73,0.592,False,0.08932758682825331,-0.7706891692130275,0.9493443428695341,6-12mo,50-70k,5
F,96,868317b9be554cb18e50bc68484749a2,2017-11-17,89000.0,1,81.92,0.0,251,4.0,20.48,0.478,False,0.501722447471899,-0.0008121030397402196,1.004256997983538,6-12mo,70-90k,7
M,40,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000.0,0,40.94,0.0,747,14.0,2.924285714285714,0.562,False,0.4379377427372524,-0.45924326684213784,1.3351187523166423,2yr+,<50k,7
F,69,102e9454054946fda62242d2e176fdce,2016-08-14,57000.0,0,213.49,0.0,711,14.0,15.249285714285715,0.591,False,-0.9832478671536752,-4.619608166091463,2.6531124317841135,1-2yr,50-70k,0
M,56,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000.0,1,167.67000000000002,132.96,1537,9.0,18.630000000000003,0.176,False,-0.875738297469285,-2.229979925656083,0.47850333071751205,2yr+,50-70k,0
F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000.0,1,73.38,54.98,348,21.0,3.494285714285714,1.81,False,-1.216189657207199,-5.3551270994173645,2.9227477850029646,6-12mo,50-70k,0
M,75,6e014185620b49bd98749f728747572f,2015-11-12,40000.0,1,155.53,138.2,987,10.0,15.553,0.304,False,-0.5859248699246633,-1.5480415149007993,0.3761917750514724,2yr+,<50k,1
F,20,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000.0,1,29.89,0.0,745,10.0,2.989,0.403,False,-0.3891784443444745,-1.115724652766476,0.3373677640775264,2yr+,<50k,2
M,45,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000.0,1,61.25,3.33,19,8.0,7.65625,8.0,False,-0.06121263444616415,-1.1313548522466377,1.0089295833543082,<6mo,<50k,3
M,61,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000.0,1,234.43,75.27000000000001,247,8.0,29.30375,0.972,False,-0.24317615315489727,-16.21196297774433,15.725610671434533,6-12mo,90k+,2
F,69,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000.0,1,32.72,6.5,1772,12.0,2.7266666666666666,0.203,False,0.05190753887401037,-0.6002817584538501,0.7040968362018707,2yr+,<50k,4
F,54,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000.0,1,249.4,67.11,534,9.0,27.711111111111112,0.506,False,1.601437874530804,-8.764399841244039,11.967275590305642,1-2yr,70-90k,9
M,39,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000.0,1,51.91,0.0,1521,14.0,3.707857142857143,0.276,False,0.6246506619689034,-0.5107209477733561,1.7600222717111627,2yr+,50-70k,8
F,41,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000.0,1,62.510000000000005,15.35,1039,18.0,3.472777777777778,0.52,False,-0.4153941910708661,-1.585201653415728,0.754413271273997,2yr+,<50k,2
F,79,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000.0,1,152.0,0.0,1198,15.0,10.133333333333333,0.376,False,-0.6538513023588419,-3.4433362567127253,2.1356336519950423,2yr+,<50k,1
F,66,7584948ea6d04f94b8798624706261c2,2018-04-08,38000.0,0,56.08,0.0,109,5.0,11.216,1.376,False,0.45428043445455746,-1.079689801076524,1.9882506699856322,<6mo,<50k,7
F,56,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000.0,1,87.11,14.18,395,7.0,12.444285714285714,0.532,False,1.7421087086508615,0.5359290684986904,2.9482883488030325,1-2yr,50-70k,9
F,39,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000.0,1,150.23000000000002,130.52,1464,13.0,11.556153846153848,0.266,False,-1.104440020422938,-2.5985866231576624,0.389706582311786,2yr+,50-70k,0
M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000.0,1,320.48,265.09000000000003,921,12.0,26.706666666666667,0.391,False,0.3272466183951207,-8.22286932377818,8.87736256056842,2yr+,90k+,7
F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000.0,1,225.55,90.37,655,8.0,28.19375,0.366,False,0.4784207844520307,-5.1780126766811065,6.134854245585164,1-2yr,90k+,7
M,45,186d6403f5824c739555b732f4af3f16,2017-10-06,48000.0,1,17.0,3.02,293,6.0,2.833333333333333,0.614,False,0.0923715606799339,-0.3916907139112072,0.5764338352710752,6-12mo,<50k,5
M,29,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000.0,1,38.17,0.44,817,12.0,3.1808333333333336,0.441,False,0.10354630963978634,-0.38438681384844264,0.5914794331280153,2yr+,<50k,5
M,44,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000.0,1,150.23,103.89,305,18.0,8.34611111111111,1.77,False,0.37620616347399,-3.617207563801854,4.369619890749833,6-12mo,<50k,7
M,63,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000.0,1,121.62,100.61,13,9.0,13.513333333333334,9.0,False,-0.8687954025029655,-1.7275578736225357,-0.01003293138339545,<6mo,50-70k,0
M,36,54890f68699049c2a04d415abc25e717,2017-12-28,56000.0,1,118.85,15.61,210,7.0,16.97857142857143,1.0,False,1.726259323902784,0.7547249033765873,2.6977937444289806,6-12mo,50-70k,9
F,76,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000.0,1,22.65,13.13,134,6.0,3.775,1.343,False,-0.2427071628650287,-0.8677115004594195,0.38229717472935953,<6mo,<50k,2
M,68,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000.0,1,177.18,42.84,337,8.0,22.1475,0.712,False,0.1917584455631322,-0.8787070814274636,1.2622239725537292,6-12mo,70-90k,6
M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000.0,1,135.54,69.24,970,11.0,12.32181818181818,0.34,False,-0.23848168361147742,-1.4841202008885102,1.0071568336655552,2yr+,50-70k,2
M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000.0,1,200.78,112.89,515,12.0,16.731666666666666,0.699,False,-1.383153979742781,-2.6091719713848853,-0.15713598810067686,1-2yr,70-90k,0
M,77,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000.0,1,23.81,0.0,726,11.0,2.1645454545454546,0.455,False,0.013134438303029475,-0.9689227908943036,0.9951916675003621,1-2yr,50-70k,4
M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000.0,1,110.92,34.65,1425,8.0,13.865,0.168,False,0.193799522541001,-0.513089471766146,0.9006885168481477,2yr+,50-70k,6
M,57,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000.0,1,27.24,0.0,169,1.0,27.24,0.178,False,0.2207429159153796,-1.015222319948946,1.456708151779705,<6mo,90k+,6
F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000.0,1,167.88,26.57,750,9.0,18.65333333333333,0.36,False,-0.8874670420333045,-2.509365178196191,0.734431094129583,2yr+,70-90k,0
F,53,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000.0,1,303.2,0.0,572,10.0,30.32,0.524,False,-2.020561384283367,-28.277527154087977,24.236404385521233,1-2yr,90k+,0
F,53,8045834137dc47faa24f2c4547969f33,2017-10-26,55000.0,1,20.18,10.52,273,8.0,2.5225,0.879,False,-0.5686931504754129,-1.3682001648655766,0.23081386391475045,6-12mo,50-70k,1
F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000.0,1,67.25,33.38,258,2.0,33.625,0.233,False,-12.882078232867515,-61.66398820650139,35.89983174076633,6-12mo,90k+,0
F,67,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000.0,1,155.73,83.5,684,8.0,19.46625,0.351,False,0.16773440495492875,-0.7919620768043389,1.127430886714198,1-2yr,70-90k,5
F,58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000.0,1,290.42,192.68,182,15.0,19.36133333333333,2.473,False,-0.949472951113532,-4.212165997822567,2.3132200955955025,6-12mo,70-90k,0
