target_fraction,n_targeted,captured_uplift,pct_uplift_captured,estimated_cost,cost_saved,pct_cost_saved
0.0,0,0.0,0.0,0.0,39126.0,1.0
0.1,1482,8119.421915764926,0.7830047938386062,4446.0,34680.0,0.8863671216071155
0.2,2965,9195.51442176148,0.8867788801652583,8895.0,30231.0,0.7726575678576906
0.3,4447,9785.63608161722,0.9436878686879355,13341.0,25785.0,0.659024689464806
0.4,5930,10113.407266673765,0.9752968196507033,17790.0,21336.0,0.545315135715381
0.5,7412,10294.326568425171,0.9927439583803992,22236.0,16890.0,0.43168225732249654
0.6,8895,10368.479767057746,0.9998949982709409,26685.0,12441.0,0.3179727035730716
0.7,10377,10293.184028415246,0.9926337763607672,31131.0,7995.0,0.2043398251801871
0.8,11860,9878.960021399245,0.9526876586960579,35580.0,3546.0,0.09063027143076215
0.9,13342,8931.345792401553,0.8613035070024252,40026.0,-900.0,-0.023002606962122373
1.0,14825,4973.01869711044,0.4795781670276279,44475.0,-5349.0,-0.13671216071154732
