customer_id,age,income,tenure_days,avg_spend,purchase_frequency,total_transactions,true_propensity,treatment,true_uplift,baseline_spend,outcome
1,60,73000.0,305,22.95,0.885,9,0.4767,1,55,89.58,145.4
2,37,87400.0,100,18.64,0.9,3,0.5014,1,95,71.55,156.99
3,68,93100.0,166,19.02,0.181,1,0.5568,0,95,11.85,12.56
4,71,58700.0,352,26.1,0.256,3,0.4045,0,55,23.88,20.21
5,22,62500.0,216,19.1,1.389,10,0.3864,0,55,104.84,89.19
6,33,30000.0,30,8.9,1.0,1,0.1834,0,95,29.76,26.36
7,57,67500.0,368,24.89,0.815,10,0.4625,0,55,83.34,90.79
8,50,47300.0,449,14.23,0.735,11,0.3667,1,55,19.46,71.69
9,55,61100.0,94,9.27,0.957,3,0.3432,0,95,31.18,16.05
10,40,30000.0,929,8.83,0.646,20,0.4074,0,55,23.36,40.62
11,70,76500.0,266,18.89,0.902,8,0.486,1,55,88.17,133.24
12,68,32000.0,45,15.9,1.333,2,0.1938,0,95,84.81,88.54
13,56,68300.0,91,21.1,3.626,11,0.3833,1,95,306.36,409.72
14,74,43000.0,290,22.59,0.828,8,0.2994,0,55,68.15,72.37
15,63,48800.0,48,16.13,3.125,5,0.2672,0,95,215.38,213.06
16,40,86200.0,233,20.6,0.129,1,0.5354,0,55,4.12,0.0
17,61,78500.0,831,28.0,0.866,24,0.6674,0,55,113.25,124.98
18,39,85900.0,1100,27.78,0.764,28,0.7709,1,55,78.98,122.31
19,70,100800.0,719,24.05,0.793,19,0.7514,1,35,83.82,128.54
20,54,48600.0,224,18.75,0.804,6,0.3112,1,55,59.85,125.96
21,52,95900.0,677,22.01,0.975,22,0.7177,1,55,81.34,124.13
22,43,31800.0,470,8.96,0.83,13,0.2887,1,55,37.82,80.46
23,76,84900.0,559,33.72,0.644,12,0.6261,1,55,97.49,148.56
24,52,54000.0,411,15.39,0.584,8,0.3944,0,55,34.47,43.66
25,48,44100.0,93,18.09,1.613,5,0.2557,0,95,116.52,110.55
26,49,76700.0,475,13.93,0.821,13,0.5521,1,55,42.45,98.38
27,64,86600.0,413,26.67,0.436,6,0.5928,0,55,48.3,43.28
28,61,85400.0,535,16.78,0.841,15,0.622,0,55,47.69,55.55
29,62,70900.0,60,29.02,0.5,1,0.3893,0,95,36.49,30.14
30,62,69200.0,220,29.37,0.955,7,0.4273,0,55,97.23,90.02
31,90,83100.0,60,25.29,0.5,1,0.4626,0,95,48.81,38.49
32,48,70000.0,35,21.07,0.857,1,0.3768,0,95,63.67,53.04
33,46,74600.0,20,20.25,1.5,1,0.3992,0,95,120.56,131.2
34,41,66500.0,813,19.74,0.923,25,0.5936,1,55,68.78,120.2
35,65,84700.0,361,24.75,0.831,10,0.5656,0,55,76.62,67.11
36,74,34600.0,359,15.64,1.086,13,0.2747,0,55,62.75,46.04
37,53,61800.0,1100,24.18,0.982,36,0.6504,0,55,102.72,100.01
38,41,33100.0,86,10.37,0.698,2,0.2062,0,95,30.84,22.63
39,41,68000.0,257,27.84,1.284,11,0.4314,0,55,155.51,145.4
40,66,101700.0,315,23.14,0.571,6,0.6514,1,35,53.68,80.94
41,68,57600.0,565,14.91,0.956,18,0.4629,1,55,41.74,97.95
42,64,69500.0,192,22.24,0.312,2,0.4206,0,55,19.41,7.8
43,44,78700.0,320,23.94,0.75,8,0.5164,1,55,72.74,124.68
44,59,30000.0,173,5.82,1.04,6,0.2115,0,95,26.15,35.0
45,57,54400.0,872,15.75,0.826,24,0.5386,0,55,47.35,41.82
46,59,73500.0,355,10.16,0.423,5,0.4953,1,55,10.82,55.18
47,70,30000.0,984,11.12,0.671,22,0.4241,1,55,24.98,90.53
48,59,45300.0,393,13.63,0.916,12,0.3395,0,55,48.78,47.9
49,67,90500.0,630,25.06,0.714,15,0.6774,0,55,71.18,69.43
50,56,86300.0,489,19.01,0.491,8,0.6137,0,55,28.55,33.76
