customer_id,age,income,tenure_days,avg_spend,purchase_frequency,total_transactions,true_propensity,treatment,true_uplift,baseline_spend,outcome,predicted_cate
1,60,73000.0,305,22.95,0.885,9,0.4767,1,55,89.58,145.4,54.165864284442
2,37,87400.0,100,18.64,0.9,3,0.5014,1,95,71.55,156.99,94.29406995981424
3,68,93100.0,166,19.02,0.181,1,0.5568,0,95,11.85,12.56,93.63170074605337
4,71,58700.0,352,26.1,0.256,3,0.4045,0,55,23.88,20.21,55.56375513513949
5,22,62500.0,216,19.1,1.389,10,0.3864,0,55,104.84,89.19,54.90584064562718
6,33,30000.0,30,8.9,1.0,1,0.1834,0,95,29.76,26.36,96.34929154849361
7,57,67500.0,368,24.89,0.815,10,0.4625,0,55,83.34,90.79,53.93801850127665
8,50,47300.0,449,14.23,0.735,11,0.3667,1,55,19.46,71.69,54.0026482900219
9,55,61100.0,94,9.27,0.957,3,0.3432,0,95,31.18,16.05,97.70787247887094
10,40,30000.0,929,8.83,0.646,20,0.4074,0,55,23.36,40.62,54.68723949138824
11,70,76500.0,266,18.89,0.902,8,0.486,1,55,88.17,133.24,54.79421854551577
12,68,32000.0,45,15.9,1.333,2,0.1938,0,95,84.81,88.54,94.81299503947076
13,56,68300.0,91,21.1,3.626,11,0.3833,1,95,306.36,409.72,85.5928108403386
14,74,43000.0,290,22.59,0.828,8,0.2994,0,55,68.15,72.37,54.65288079370996
15,63,48800.0,48,16.13,3.125,5,0.2672,0,95,215.38,213.06,85.88700808752323
16,40,86200.0,233,20.6,0.129,1,0.5354,0,55,4.12,0.0,55.02047825032583
17,61,78500.0,831,28.0,0.866,24,0.6674,0,55,113.25,124.98,53.158385777775315
18,39,85900.0,1100,27.78,0.764,28,0.7709,1,55,78.98,122.31,53.36441385667744
19,70,100800.0,719,24.05,0.793,19,0.7514,1,35,83.82,128.54,46.42605462395484
20,54,48600.0,224,18.75,0.804,6,0.3112,1,55,59.85,125.96,54.28588797539259
21,52,95900.0,677,22.01,0.975,22,0.7177,1,55,81.34,124.13,53.302515619573825
22,43,31800.0,470,8.96,0.83,13,0.2887,1,55,37.82,80.46,54.51092036123863
23,76,84900.0,559,33.72,0.644,12,0.6261,1,55,97.49,148.56,54.205938910067914
24,52,54000.0,411,15.39,0.584,8,0.3944,0,55,34.47,43.66,54.30454318682312
25,48,44100.0,93,18.09,1.613,5,0.2557,0,95,116.52,110.55,94.9264831243498
26,49,76700.0,475,13.93,0.821,13,0.5521,1,55,42.45,98.38,53.7241212966102
27,64,86600.0,413,26.67,0.436,6,0.5928,0,55,48.3,43.28,53.88746278004472
28,61,85400.0,535,16.78,0.841,15,0.622,0,55,47.69,55.55,54.32310132001368
29,62,70900.0,60,29.02,0.5,1,0.3893,0,95,36.49,30.14,95.24067433689997
30,62,69200.0,220,29.37,0.955,7,0.4273,0,55,97.23,90.02,54.28875348569982
31,90,83100.0,60,25.29,0.5,1,0.4626,0,95,48.81,38.49,93.82375087324768
32,48,70000.0,35,21.07,0.857,1,0.3768,0,95,63.67,53.04,96.76321936625381
33,46,74600.0,20,20.25,1.5,1,0.3992,0,95,120.56,131.2,96.32451703470062
34,41,66500.0,813,19.74,0.923,25,0.5936,1,55,68.78,120.2,54.39495383533312
35,65,84700.0,361,24.75,0.831,10,0.5656,0,55,76.62,67.11,54.138427491820316
36,74,34600.0,359,15.64,1.086,13,0.2747,0,55,62.75,46.04,55.04392762844675
37,53,61800.0,1100,24.18,0.982,36,0.6504,0,55,102.72,100.01,54.505945335013976
38,41,33100.0,86,10.37,0.698,2,0.2062,0,95,30.84,22.63,96.34711258894156
39,41,68000.0,257,27.84,1.284,11,0.4314,0,55,155.51,145.4,54.56036527768499
40,66,101700.0,315,23.14,0.571,6,0.6514,1,35,53.68,80.94,45.666875080175735
41,68,57600.0,565,14.91,0.956,18,0.4629,1,55,41.74,97.95,55.83624457534258
42,64,69500.0,192,22.24,0.312,2,0.4206,0,55,19.41,7.8,54.79504169923681
43,44,78700.0,320,23.94,0.75,8,0.5164,1,55,72.74,124.68,53.56470345019486
44,59,30000.0,173,5.82,1.04,6,0.2115,0,95,26.15,35.0,96.29491076525281
45,57,54400.0,872,15.75,0.826,24,0.5386,0,55,47.35,41.82,54.487456537164434
46,59,73500.0,355,10.16,0.423,5,0.4953,1,55,10.82,55.18,53.931572753527604
47,70,30000.0,984,11.12,0.671,22,0.4241,1,55,24.98,90.53,55.00696883259368
48,59,45300.0,393,13.63,0.916,12,0.3395,0,55,48.78,47.9,54.23483826812528
49,67,90500.0,630,25.06,0.714,15,0.6774,0,55,71.18,69.43,54.5651574644869
50,56,86300.0,489,19.01,0.491,8,0.6137,0,55,28.55,33.76,54.17035082620295
51,60,73900.0,82,18.33,0.732,2,0.4137,0,95,55.64,54.78,95.52286326811816
52,66,85700.0,114,29.37,0.526,2,0.4953,0,95,63.69,64.39,94.95752778915178
53,30,64500.0,152,30.0,0.789,4,0.3792,1,95,93.8,173.09,95.5487773011623
54,50,75700.0,370,16.75,0.892,11,0.5135,1,55,54.24,100.84,53.76658221449456
55,47,56800.0,760,23.62,0.789,20,0.5186,1,55,79.92,153.54,54.5740061466038
56,44,65200.0,405,21.72,0.593,8,0.4599,0,55,62.11,51.71,54.030792387327935
57,50,50700.0,247,8.91,0.607,5,0.3287,0,55,18.05,18.73,54.06079350148667
58,80,96500.0,85,20.52,1.765,5,0.5525,0,95,139.84,157.26,94.57664994677822
59,40,94000.0,254,8.96,0.591,5,0.589,0,55,24.91,31.78,53.485262536640775
60,71,97200.0,1097,26.2,0.711,26,0.8158,1,55,65.15,123.05,53.36370945026675
61,26,50600.0,412,12.21,0.437,6,0.3749,0,55,11.13,3.11,54.33256599838862
62,49,43800.0,142,17.24,0.634,3,0.2661,0,95,38.53,32.3,93.73949161750504
63,58,92400.0,524,36.71,0.802,14,0.6585,1,55,120.24,172.15,53.70461187129049
64,65,78400.0,53,29.73,0.566,1,0.4319,1,95,60.27,158.64,95.0529931403447
65,67,74300.0,461,17.31,0.521,8,0.5331,0,55,35.92,48.65,53.99375256776734
66,68,54300.0,86,13.1,0.349,1,0.3045,1,95,2.21,98.39,94.93303632557638
67,49,72700.0,5,27.37,5.0,2,0.3836,0,95,552.33,546.63,96.14915289040121
68,47,40600.0,299,11.07,0.201,2,0.2895,0,55,20.42,19.46,55.89772436789701
69,70,81300.0,543,27.15,0.718,13,0.6004,0,55,70.7,75.9,54.44469676286655
70,52,93400.0,553,37.69,0.868,16,0.672,1,55,134.41,192.78,53.561963445140194
71,33,94900.0,726,27.61,0.785,19,0.725,1,55,85.03,137.54,53.17837296385551
72,36,76100.0,268,27.34,0.56,5,0.4842,1,55,62.09,105.89,53.20264172162781
73,39,32800.0,203,20.26,0.887,6,0.2298,0,55,69.92,80.69,54.59000052801809
74,63,70700.0,442,17.82,0.95,14,0.5051,1,55,65.29,117.67,55.10449143564002
75,57,110300.0,761,28.0,0.749,19,0.8009,1,35,77.22,114.68,46.413141280568006
76,67,49200.0,79,12.6,0.38,1,0.2768,0,95,10.41,3.64,94.76805781838215
77,48,62400.0,610,25.81,0.934,19,0.5064,1,55,105.22,153.2,54.71415790613222
78,58,95300.0,952,18.87,0.788,25,0.7791,1,55,46.05,106.02,53.436429747062284
79,66,80200.0,662,25.53,0.725,16,0.629,1,55,73.89,116.22,54.58576202327639
80,50,116100.0,177,33.07,0.169,1,0.6916,1,75,21.84,85.21,94.26078412371855
81,63,51200.0,590,15.22,0.712,14,0.4317,1,55,42.97,113.06,55.09806766305828
82,44,42000.0,187,12.7,0.321,2,0.2684,0,55,21.63,29.89,55.45943702348597
83,49,89500.0,145,22.58,0.207,1,0.5283,1,95,15.73,114.9,93.66812199089976
84,49,38700.0,1100,11.34,0.736,27,0.5131,0,55,38.61,27.88,54.76146122670859
85,35,56900.0,345,19.32,0.609,7,0.3918,0,55,62.95,65.16,54.13874458427652
86,63,65200.0,691,15.2,0.695,16,0.5486,0,55,41.04,40.3,55.632196582461184
87,47,85200.0,274,18.56,0.985,9,0.5419,0,55,56.87,52.45,55.656484653596564
88,55,77900.0,240,24.42,0.875,7,0.4866,1,55,84.33,138.43,53.76936865272891
89,63,76200.0,441,24.52,0.68,10,0.5386,1,55,64.77,105.46,53.9011340792165
90,63,58100.0,621,17.25,0.676,14,0.4833,0,55,49.86,29.17,55.38989074291634
91,66,92700.0,437,15.67,0.686,10,0.6354,0,55,27.05,30.02,53.97543774692473
92,53,120000.0,279,33.85,0.645,6,0.737,1,35,89.93,126.54,45.7302785762489
93,48,78100.0,203,19.47,1.034,7,0.4763,1,55,77.16,134.68,55.165930646824656
94,54,66900.0,173,30.35,0.173,1,0.3994,0,95,27.42,35.12,95.24373562881391
95,26,31900.0,25,14.12,5.0,5,0.1895,0,95,278.25,283.37,93.57442727277707
96,30,46600.0,460,17.67,0.848,13,0.3659,0,55,66.88,81.73,53.96187707739335
97,33,56100.0,378,16.26,0.079,1,0.3969,0,55,0.0,11.79,55.3650316024682
98,38,50400.0,121,18.78,0.744,3,0.2935,0,95,56.03,56.62,93.92226360489526
99,62,66100.0,282,37.3,1.064,10,0.4276,1,55,150.97,207.56,54.3387157119566
100,40,99300.0,530,23.15,0.792,14,0.6971,1,55,69.43,126.68,47.95529003965811
101,49,90000.0,205,29.88,0.585,4,0.5499,1,55,91.68,131.34,53.41550681295705
102,77,66100.0,1100,20.37,0.736,27,0.674,0,55,52.37,61.57,54.94786886586113
103,49,38400.0,74,21.63,0.811,2,0.2258,0,95,67.19,73.04,94.45535964628674
104,68,95700.0,136,14.7,1.324,6,0.5633,0,95,68.7,52.13,94.11817626646754
105,39,60800.0,607,28.84,0.544,11,0.4956,0,55,60.3,75.8,54.17879291677354
106,52,30000.0,592,16.21,0.659,13,0.3113,0,55,41.53,37.25,55.35370094661227
107,39,76800.0,394,20.18,1.142,15,0.5277,1,55,86.31,140.06,54.267630004746266
108,49,85300.0,330,27.31,0.727,8,0.5598,0,55,92.03,90.59,53.55134645653415
109,69,30000.0,87,15.22,2.414,7,0.1942,0,95,156.21,154.49,88.9059603017053
110,26,41900.0,106,10.55,3.396,12,0.2486,0,95,135.74,159.68,91.73795896742227
111,62,64100.0,271,7.5,0.554,5,0.4122,0,55,23.15,20.54,54.32517241746073
112,59,81200.0,129,31.31,0.233,1,0.4723,1,95,25.34,117.1,94.94333630864315
113,45,52200.0,40,16.72,0.75,1,0.2819,0,95,40.33,40.52,94.7890046273311
114,30,42500.0,484,13.31,0.93,15,0.3496,1,55,43.77,90.29,54.617158187733196
115,56,80500.0,1100,19.4,0.845,31,0.7466,1,55,55.52,113.44,53.892193505798886
116,46,53400.0,220,25.33,1.636,12,0.3359,1,55,173.29,220.08,54.59000700953075
117,59,77200.0,209,19.13,0.718,5,0.4726,1,55,47.93,107.94,53.824159172601064
118,55,41700.0,275,19.48,0.873,8,0.2889,0,55,78.33,67.9,54.878031668359085
119,82,42000.0,80,14.63,0.375,1,0.243,1,95,23.07,112.2,94.24898388789589
120,51,80100.0,319,15.74,0.094,1,0.5246,0,55,2.69,0.0,55.58376588103326
121,38,66900.0,408,24.54,0.735,10,0.4712,0,55,68.13,62.81,53.740507161162
122,58,85000.0,80,28.27,0.375,1,0.4804,1,95,56.43,133.56,94.86604388983469
123,59,54600.0,248,14.79,0.968,8,0.3504,1,55,57.35,87.9,55.25287921678317
124,78,52900.0,668,17.75,0.494,11,0.466,1,55,31.04,82.82,55.493273810673045
125,69,96400.0,82,24.95,0.366,1,0.551,0,95,43.35,27.99,93.46172960440715
126,61,34200.0,458,17.36,0.786,12,0.2978,0,55,59.26,76.6,54.63387666909825
127,80,96300.0,302,34.3,0.894,9,0.6168,1,55,114.75,166.16,52.82316036019874
128,35,88700.0,50,21.69,0.6,1,0.4938,1,95,52.1,154.18,94.32115221462125
129,44,80900.0,181,20.48,1.657,10,0.4866,0,55,121.27,124.36,55.62721132559496
130,39,47400.0,184,16.23,1.467,9,0.2944,0,55,94.97,84.34,54.88589394703475
131,48,46500.0,103,12.26,0.291,1,0.2696,0,95,16.78,12.58,94.25605762928409
132,32,56000.0,315,9.79,1.238,13,0.3777,1,55,52.06,114.47,54.461779485346035
133,66,40000.0,17,16.67,5.0,6,0.2203,1,95,325.4,427.16,93.40679339987224
134,51,44000.0,1095,19.24,0.74,27,0.544,1,55,51.04,114.71,54.49892966886927
135,30,73500.0,201,21.04,0.746,5,0.4475,1,55,64.76,113.2,53.24577438426222
136,38,75200.0,236,20.97,0.763,6,0.4687,1,55,74.0,134.85,53.71969930825633
137,60,44000.0,143,12.11,0.42,2,0.2673,0,95,21.08,15.03,94.29863360456567
138,69,82000.0,83,23.56,0.361,1,0.463,0,95,29.56,39.66,94.18139484602439
139,89,81300.0,580,23.04,0.931,18,0.6114,1,55,93.56,158.36,54.87427981816857
140,90,103700.0,255,27.93,0.941,8,0.6456,1,35,106.16,127.42,46.13644520969874
141,62,78400.0,147,23.38,0.408,2,0.4608,1,95,39.59,137.35,94.07697499894192
142,38,83800.0,1034,24.54,0.667,23,0.7464,1,55,71.85,115.9,53.326943242611534
143,19,67800.0,493,26.76,0.609,10,0.5032,0,55,64.42,72.7,54.00739318242556
144,60,86600.0,206,25.85,0.728,5,0.5294,1,55,67.81,111.53,53.0815998265479
145,41,35200.0,739,17.68,0.853,21,0.3815,0,55,59.09,62.31,55.08686248204848
